source_id,source_name,canonical_source_id,population,spin_hz,distance_kpc,temperature_constraint,thermal_basis,surface_temperature_inf_k,surface_temperature_inf_lower_k,surface_temperature_inf_upper_k,core_temperature_inf_reference_k,core_temperature_inf_lower_k,core_temperature_inf_upper_k,input_observable,interval_description,spectral_band,surface_emission_model,spin_evidence,spin_reference,thermal_reference,spin_url,thermal_url,catalogue_locator,notes
11,IGR J17191-2821,IGRJ171912821,rapid accreting transient,294.0,,upper_limit,upper_limit,860010.8379880765,,860010.8379880765,116826297.46639828,,116826297.46639828,published kT_eff^infinity < 74.11 eV,Upper limit given in the cited study; no common confidence level assigned,atmosphere-model effective temperature,NSATMOS,thermonuclear_burst_oscillation,Spin_igr17191,Therm_igr17191,https://doi.org/10.1111/j.1365-2966.2009.15627.x,https://doi.org/10.1111/j.1365-2966.2012.21171.x,spin: Altamirano et al. 2010 MNRAS 401 223; thermal: Haskell Degenaar and Ho 2012 MNRAS 424 93,The 0.86 MK limit is already redshifted; conversion between kelvin and electronvolts does not require a further redshift correction.
12,IGR J18245-2452 / M28I,PSR_J1824-2452I_M28I,rapid accreting transient,254.33303087,,upper_limit,upper_limit,505492.8093747216,,505492.8093747216,44889095.23576301,,44889095.23576301,published kT_eff^infinity < 43.56 eV,90% interval; see the cited study for its statistical definition,0.1-10 keV,NSATMOS,coherent_accretion_pulsation,Spin_igr18245,Therm_igr18245,https://doi.org/10.1051/0004-6361/201730600,https://doi.org/10.1093/mnras/stt2167,spin: De Falco et al. 2017 A&A 603 A16; thermal: Linares et al. 2014 MNRAS 438 251,The cited local surface-temperature limit has been converted to the observer frame. The spin frequency is from De Falco et al. (2017). IGR J18245–2452 and PSR J1824–2452I are the same object and appear only once in the catalogue.
13,IGR J17511-3057,IGRJ175113057,rapid accreting transient,244.8339512,,upper_limit,upper_limit,1160451.812155008,,1160451.812155008,199517827.9481902,,199517827.9481902,published kT_eff^infinity < 100.0 eV,Literature compilation; confidence levels vary among sources,atmosphere-model effective temperature,hydrogen_atmosphere,coherent_accretion_pulsation,Spin_igr17511,Degenaar2012,https://doi.org/10.1111/j.1365-2966.2010.17090.x,https://doi.org/10.1088/0004-637X/756/2/148,spin: Papitto et al. 2010 MNRAS 407 2575; thermal: Degenaar Patruno and Wijnands 2012 ApJ 756 148,"The spin frequency is from Papitto et al. (2010). The adopted temperature ceiling is the rounded value in the Degenaar et al. compilation; Haskell et al. give the nearby, model-dependent value of 1.10 MK (94.8 eV)."
14,NGC 6440 X-2,NGC6440X2,rapid accreting transient,205.8921768,,upper_limit,upper_limit,348135.5436465024,,348135.5436465024,22671763.3839166,,22671763.3839166,published kT_eff^infinity < 30.0 eV,Literature compilation; confidence levels vary among sources,atmosphere-model effective temperature,hydrogen_atmosphere,coherent_accretion_pulsation,Spin_ngc6440x2,Degenaar2012,https://doi.org/10.1088/0004-637X/814/2/138,https://doi.org/10.1088/0004-637X/756/2/148,spin: Bult et al. 2015 ApJ 814 138; thermal: Degenaar Patruno and Wijnands 2012 ApJ 756 148,The surface-temperature upper limit assumes atmosphere emission from the whole star. Crowded-field uncertainties remain relevant.
15,XTE J1807-294,XTEJ1807294,rapid accreting transient,190.623507,,upper_limit,upper_limit,580225.906077504,,580225.906077504,57610778.53779062,,57610778.53779062,published kT_eff^infinity < 50.0 eV,Literature compilation; confidence levels vary among sources,atmosphere-model effective temperature,hydrogen_atmosphere,coherent_accretion_pulsation,Spin_xtej1807,Degenaar2012,https://doi.org/10.1086/533578,https://doi.org/10.1088/0004-637X/756/2/148,spin: Riggio et al. 2008 ApJ 678 1273; thermal: Degenaar Patruno and Wijnands 2012 ApJ 756 148,The Degenaar et al. (2012) compilation gives the surface-temperature upper limit for whole-surface atmosphere emission; 190.623507 Hz is rounded from the phase-connected timing solutions of Riggio et al. (2008).
16,XTE J0929-314,XTEJ0929314,rapid accreting transient,185.105254,,upper_limit,upper_limit,580225.906077504,,580225.906077504,57610778.53779062,,57610778.53779062,published kT_eff^infinity < 50.0 eV,Literature compilation; confidence levels vary among sources,atmosphere-model effective temperature,hydrogen_atmosphere,coherent_accretion_pulsation,Spin_xtej0929,Degenaar2012,https://doi.org/10.1086/343841,https://doi.org/10.1088/0004-637X/756/2/148,spin: Galloway et al. 2002 ApJL 576 L137; thermal: Degenaar Patruno and Wijnands 2012 ApJ 756 148,The surface-temperature upper limit assumes atmosphere emission from the whole star.
17,Swift J1756.9-2508,SWIFTJ175692508,rapid accreting transient,182.065804,,upper_limit,upper_limit,928361.4497240064,,928361.4497240064,133951560.30288243,,133951560.30288243,published kT_eff^infinity < 80.0 eV,Literature compilation; confidence levels vary among sources,atmosphere-model effective temperature,hydrogen_atmosphere,coherent_accretion_pulsation,Spin_swift1756,Degenaar2012,https://doi.org/10.1086/522959,https://doi.org/10.1088/0004-637X/756/2/148,spin: Krimm et al. 2007 ApJL 668 L147; thermal: Degenaar Patruno and Wijnands 2012 ApJ 756 148,The surface-temperature upper limit assumes atmosphere emission from the whole star.
18,IGR J16597-3704,IGRJ165973704,rapid accreting transient,105.17582,,upper_limit,upper_limit,666563.5209018367,,666563.5209018367,73968750.23223996,,73968750.23223996,published kT_eff^infinity < 57.44 eV,95% interval; see the cited study for its statistical definition,0.5-10 keV,NSATMOS,coherent_accretion_pulsation,Spin_igr16597,Therm_igr16597,https://doi.org/10.1051/0004-6361/201732262,https://doi.org/10.3847/1538-4357/aaa95a,spin: Sanna et al. 2018 A&A 610 L2; thermal: Tetarenko et al. 2018 ApJ 854 125,The cited NSATMOS temperature limit is local. Its accompanying atmosphere-model luminosity limit covers 0.5–10 keV and is not bolometric.
19,J0023+0923,J00230923,rotation-powered MSP,327.868852459,1.818,upper_limit,flux_ceiling,647946.067860739,,665508.080696944,73497272.27954854,,73497272.27954854,L_SX=6.090000e+30 erg s^-1 (value),Temperature ceiling derived from a luminosity budget; not a measured temperature interval,0.5--2.0 keV (Chandra),,period coordinate in the dated Xu living-table snapshot,XuLive2025,Xu2025,https://xray-pulsar.github.io/counterparts/,https://doi.org/10.3847/1538-4357/adaebc,Xu living Table 2 line 125 (snapshot 2025-12-25),"The soft-band luminosity, or the full-band luminosity where a soft-band value is unavailable, is assigned to uniform surface emission to obtain a conservative temperature ceiling. Polar-cap, shock, or magnetospheric emission may contribute to that luminosity."
20,J0024-7204C,J00247204C,rotation-powered MSP,173.701580684,4.52,upper_limit,flux_ceiling,419789.4228968565,,431926.2573486329,33582787.32559693,,33582787.32559693,L_X_fallback=1.700000e+30 erg s^-1 (value),Temperature ceiling derived from a luminosity budget; not a measured temperature interval,0.3--8.0 keV (Zhao--Heinke catalogue),,period coordinate in the dated Xu living-table snapshot,XuLive2025,ZhaoHeinke2022,https://xray-pulsar.github.io/counterparts/,https://doi.org/10.1093/mnras/stac442,Xu living Table 2 line 126 (snapshot 2025-12-25),"The soft-band luminosity, or the full-band luminosity where a soft-band value is unavailable, is assigned to uniform surface emission to obtain a conservative temperature ceiling. Polar-cap, shock, or magnetospheric emission may contribute to that luminosity."
21,J0024-7204D,J00247204D,rotation-powered MSP,186.636804778,4.52,upper_limit,flux_ceiling,450440.1424714303,,464241.3956156532,38298724.93751449,,38298724.93751449,L_X_fallback=3.300000e+30 erg s^-1 (value),Temperature ceiling derived from a luminosity budget; not a measured temperature interval,0.3--8.0 keV (Zhao--Heinke catalogue),,period coordinate in the dated Xu living-table snapshot,XuLive2025,ZhaoHeinke2022,https://xray-pulsar.github.io/counterparts/,https://doi.org/10.1093/mnras/stac442,Xu living Table 2 line 127 (snapshot 2025-12-25),"The soft-band luminosity, or the full-band luminosity where a soft-band value is unavailable, is assigned to uniform surface emission to obtain a conservative temperature ceiling. Polar-cap, shock, or magnetospheric emission may contribute to that luminosity."
22,J0024-7204E,J00247204E,rotation-powered MSP,282.805429864,4.52,upper_limit,flux_ceiling,471765.7928637313,,486771.4179599227,41740655.6871245,,41740655.6871245,L_X_fallback=5.000000e+30 erg s^-1 (value),Temperature ceiling derived from a luminosity budget; not a measured temperature interval,0.3--8.0 keV (Zhao--Heinke catalogue),,period coordinate in the dated Xu living-table snapshot,XuLive2025,ZhaoHeinke2022,https://xray-pulsar.github.io/counterparts/,https://doi.org/10.1093/mnras/stac442,Xu living Table 2 line 128 (snapshot 2025-12-25),"The soft-band luminosity, or the full-band luminosity where a soft-band value is unavailable, is assigned to uniform surface emission to obtain a conservative temperature ceiling. Polar-cap, shock, or magnetospheric emission may contribute to that luminosity."
23,J0024-7204F,J00247204F,rotation-powered MSP,381.097560976,4.52,upper_limit,flux_ceiling,433275.38644075394,,446134.5668563468,35624020.713653676,,35624020.713653676,L_X_fallback=2.300000e+30 erg s^-1 (value),Temperature ceiling derived from a luminosity budget; not a measured temperature interval,0.3--8.0 keV (Zhao--Heinke catalogue),,period coordinate in the dated Xu living-table snapshot,XuLive2025,ZhaoHeinke2022,https://xray-pulsar.github.io/counterparts/,https://doi.org/10.1093/mnras/stac442,Xu living Table 2 line 129 (snapshot 2025-12-25),"The soft-band luminosity, or the full-band luminosity where a soft-band value is unavailable, is assigned to uniform surface emission to obtain a conservative temperature ceiling. Polar-cap, shock, or magnetospheric emission may contribute to that luminosity."
24,J0024-7204H,J00247204H,rotation-powered MSP,311.526479751,4.52,upper_limit,flux_ceiling,448929.60027139104,,462646.95060556225,38059907.23071545,,38059907.23071545,L_X_fallback=3.200000e+30 erg s^-1 (value),Temperature ceiling derived from a luminosity budget; not a measured temperature interval,0.3--8.0 keV (Zhao--Heinke catalogue),,period coordinate in the dated Xu living-table snapshot,XuLive2025,ZhaoHeinke2022,https://xray-pulsar.github.io/counterparts/,https://doi.org/10.1093/mnras/stac442,Xu living Table 2 line 130 (snapshot 2025-12-25),"The soft-band luminosity, or the full-band luminosity where a soft-band value is unavailable, is assigned to uniform surface emission to obtain a conservative temperature ceiling. Polar-cap, shock, or magnetospheric emission may contribute to that luminosity."
25,J0024-7204J,J00247204J,rotation-powered MSP,475.963826749,4.52,upper_limit,flux_ceiling,520929.5012057845,,538844.6425139884,50171787.023973025,,50171787.023973025,L_X_fallback=1.160000e+31 erg s^-1 (value),Temperature ceiling derived from a luminosity budget; not a measured temperature interval,0.3--8.0 keV (Zhao--Heinke catalogue),,period coordinate in the dated Xu living-table snapshot,XuLive2025,ZhaoHeinke2022,https://xray-pulsar.github.io/counterparts/,https://doi.org/10.1093/mnras/stac442,Xu living Table 2 line 131 (snapshot 2025-12-25),"The soft-band luminosity, or the full-band luminosity where a soft-band value is unavailable, is assigned to uniform surface emission to obtain a conservative temperature ceiling. Polar-cap, shock, or magnetospheric emission may contribute to that luminosity."
26,J0024-7204L,J00247204L,rotation-powered MSP,230.096640589,4.52,upper_limit,flux_ceiling,502448.60420191824,,519249.1510909978,46921807.28604274,,46921807.28604274,L_X_fallback=8.600000e+30 erg s^-1 (value),Temperature ceiling derived from a luminosity budget; not a measured temperature interval,0.3--8.0 keV (Zhao--Heinke catalogue),,period coordinate in the dated Xu living-table snapshot,XuLive2025,ZhaoHeinke2022,https://xray-pulsar.github.io/counterparts/,https://doi.org/10.1093/mnras/stac442,Xu living Table 2 line 132 (snapshot 2025-12-25),"The soft-band luminosity, or the full-band luminosity where a soft-band value is unavailable, is assigned to uniform surface emission to obtain a conservative temperature ceiling. Polar-cap, shock, or magnetospheric emission may contribute to that luminosity."
27,J0024-7204M,J00247204M,rotation-powered MSP,271.960837639,4.52,upper_limit,flux_ceiling,435237.1300834806,,448202.824878556,35925380.584152095,,35925380.584152095,L_X_fallback=2.400000e+30 erg s^-1 (value),Temperature ceiling derived from a luminosity budget; not a measured temperature interval,0.3--8.0 keV (Zhao--Heinke catalogue),,period coordinate in the dated Xu living-table snapshot,XuLive2025,ZhaoHeinke2022,https://xray-pulsar.github.io/counterparts/,https://doi.org/10.1093/mnras/stac442,Xu living Table 2 line 133 (snapshot 2025-12-25),"The soft-band luminosity, or the full-band luminosity where a soft-band value is unavailable, is assigned to uniform surface emission to obtain a conservative temperature ceiling. Polar-cap, shock, or magnetospheric emission may contribute to that luminosity."
28,J0024-7204N,J00247204N,rotation-powered MSP,327.439423707,4.52,upper_limit,flux_ceiling,435237.1300834806,,448202.824878556,35925380.584152095,,35925380.584152095,L_X_fallback=2.400000e+30 erg s^-1 (value),Temperature ceiling derived from a luminosity budget; not a measured temperature interval,0.3--8.0 keV (Zhao--Heinke catalogue),,period coordinate in the dated Xu living-table snapshot,XuLive2025,ZhaoHeinke2022,https://xray-pulsar.github.io/counterparts/,https://doi.org/10.1093/mnras/stac442,Xu living Table 2 line 134 (snapshot 2025-12-25),"The soft-band luminosity, or the full-band luminosity where a soft-band value is unavailable, is assigned to uniform surface emission to obtain a conservative temperature ceiling. Polar-cap, shock, or magnetospheric emission may contribute to that luminosity."
29,J0024-7204O,J00247204O,rotation-powered MSP,378.357926599,4.52,upper_limit,flux_ceiling,516408.66306184005,,534048.913522122,49367824.072812736,,49367824.072812736,L_X_fallback=1.080000e+31 erg s^-1 (value),Temperature ceiling derived from a luminosity budget; not a measured temperature interval,0.3--8.0 keV (Zhao--Heinke catalogue),,period coordinate in the dated Xu living-table snapshot,XuLive2025,ZhaoHeinke2022,https://xray-pulsar.github.io/counterparts/,https://doi.org/10.1093/mnras/stac442,Xu living Table 2 line 135 (snapshot 2025-12-25),"The soft-band luminosity, or the full-band luminosity where a soft-band value is unavailable, is assigned to uniform surface emission to obtain a conservative temperature ceiling. Polar-cap, shock, or magnetospheric emission may contribute to that luminosity."
30,J0024-7204Q,J00247204Q,rotation-powered MSP,247.954376395,4.52,upper_limit,flux_ceiling,435237.1300834806,,448202.824878556,35925380.584152095,,35925380.584152095,L_X_fallback=2.400000e+30 erg s^-1 (value),Temperature ceiling derived from a luminosity budget; not a measured temperature interval,0.3--8.0 keV (Zhao--Heinke catalogue),,period coordinate in the dated Xu living-table snapshot,XuLive2025,ZhaoHeinke2022,https://xray-pulsar.github.io/counterparts/,https://doi.org/10.1093/mnras/stac442,Xu living Table 2 line 136 (snapshot 2025-12-25),"The soft-band luminosity, or the full-band luminosity where a soft-band value is unavailable, is assigned to uniform surface emission to obtain a conservative temperature ceiling. Polar-cap, shock, or magnetospheric emission may contribute to that luminosity."
31,J0024-7204R,J00247204R,rotation-powered MSP,287.356321839,4.52,upper_limit,flux_ceiling,490395.60056372534,,506482.47832010814,44854460.14736361,,44854460.14736361,L_X_fallback=7.000000e+30 erg s^-1 (value),Temperature ceiling derived from a luminosity budget; not a measured temperature interval,0.3--8.0 keV (Zhao--Heinke catalogue),,period coordinate in the dated Xu living-table snapshot,XuLive2025,ZhaoHeinke2022,https://xray-pulsar.github.io/counterparts/,https://doi.org/10.1093/mnras/stac442,Xu living Table 2 line 137 (snapshot 2025-12-25),"The soft-band luminosity, or the full-band luminosity where a soft-band value is unavailable, is assigned to uniform surface emission to obtain a conservative temperature ceiling. Polar-cap, shock, or magnetospheric emission may contribute to that luminosity."
32,J0024-7204T,J00247204T,rotation-powered MSP,131.787032156,4.52,upper_limit,flux_ceiling,414426.0571283481,,426280.0961802422,32785803.251234382,,32785803.251234382,L_X_fallback=1.500000e+30 erg s^-1 (value),Temperature ceiling derived from a luminosity budget; not a measured temperature interval,0.3--8.0 keV (Zhao--Heinke catalogue),,period coordinate in the dated Xu living-table snapshot,XuLive2025,ZhaoHeinke2022,https://xray-pulsar.github.io/counterparts/,https://doi.org/10.1093/mnras/stac442,Xu living Table 2 line 139 (snapshot 2025-12-25),"The soft-band luminosity, or the full-band luminosity where a soft-band value is unavailable, is assigned to uniform surface emission to obtain a conservative temperature ceiling. Polar-cap, shock, or magnetospheric emission may contribute to that luminosity."
33,J0024-7204U,J00247204U,rotation-powered MSP,230.255583698,4.52,upper_limit,flux_ceiling,448929.60027139104,,462646.95060556225,38059907.23071545,,38059907.23071545,L_X_fallback=3.200000e+30 erg s^-1 (value),Temperature ceiling derived from a luminosity budget; not a measured temperature interval,0.3--8.0 keV (Zhao--Heinke catalogue),,period coordinate in the dated Xu living-table snapshot,XuLive2025,ZhaoHeinke2022,https://xray-pulsar.github.io/counterparts/,https://doi.org/10.1093/mnras/stac442,Xu living Table 2 line 140 (snapshot 2025-12-25),"The soft-band luminosity, or the full-band luminosity where a soft-band value is unavailable, is assigned to uniform surface emission to obtain a conservative temperature ceiling. Polar-cap, shock, or magnetospheric emission may contribute to that luminosity."
34,J0024-7204X,J00247204X,rotation-powered MSP,209.555741827,4.52,upper_limit,flux_ceiling,431243.3353946429,,443992.60971506895,35313049.29977084,,35313049.29977084,L_X_fallback=2.200000e+30 erg s^-1 (value),Temperature ceiling derived from a luminosity budget; not a measured temperature interval,0.3--8.0 keV (Zhao--Heinke catalogue),,period coordinate in the dated Xu living-table snapshot,XuLive2025,ZhaoHeinke2022,https://xray-pulsar.github.io/counterparts/,https://doi.org/10.1093/mnras/stac442,Xu living Table 2 line 142 (snapshot 2025-12-25),"The soft-band luminosity, or the full-band luminosity where a soft-band value is unavailable, is assigned to uniform surface emission to obtain a conservative temperature ceiling. Polar-cap, shock, or magnetospheric emission may contribute to that luminosity."
35,J0024-7204Y,J00247204Y,rotation-powered MSP,455.16613564,4.52,upper_limit,flux_ceiling,437134.0316931353,,450202.8008195323,36217826.81074913,,36217826.81074913,L_X_fallback=2.500000e+30 erg s^-1 (value),Temperature ceiling derived from a luminosity budget; not a measured temperature interval,0.3--8.0 keV (Zhao--Heinke catalogue),,period coordinate in the dated Xu living-table snapshot,XuLive2025,ZhaoHeinke2022,https://xray-pulsar.github.io/counterparts/,https://doi.org/10.1093/mnras/stac442,Xu living Table 2 line 143 (snapshot 2025-12-25),"The soft-band luminosity, or the full-band luminosity where a soft-band value is unavailable, is assigned to uniform surface emission to obtain a conservative temperature ceiling. Polar-cap, shock, or magnetospheric emission may contribute to that luminosity."
36,J0024-7204Z,J00247204Z,rotation-powered MSP,219.587176109,4.52,upper_limit,flux_ceiling,453354.08917654806,,467317.7238179771,38761288.50432653,,38761288.50432653,L_X_fallback=3.500000e+30 erg s^-1 (value),Temperature ceiling derived from a luminosity budget; not a measured temperature interval,0.3--8.0 keV (Zhao--Heinke catalogue),,period coordinate in the dated Xu living-table snapshot,XuLive2025,ZhaoHeinke2022,https://xray-pulsar.github.io/counterparts/,https://doi.org/10.1093/mnras/stac442,Xu living Table 2 line 144 (snapshot 2025-12-25),"The soft-band luminosity, or the full-band luminosity where a soft-band value is unavailable, is assigned to uniform surface emission to obtain a conservative temperature ceiling. Polar-cap, shock, or magnetospheric emission may contribute to that luminosity."
37,J0024-7204aa,J00247204AA,rotation-powered MSP,543.47826087,4.52,upper_limit,flux_ceiling,393774.57674584014,,404563.8847818819,29796061.7100583,,29796061.7100583,L_X_fallback=9.000000e+29 erg s^-1 (value),Temperature ceiling derived from a luminosity budget; not a measured temperature interval,0.3--8.0 keV (Zhao--Heinke catalogue),,period coordinate in the dated Xu living-table snapshot,XuLive2025,ZhaoHeinke2022,https://xray-pulsar.github.io/counterparts/,https://doi.org/10.1093/mnras/stac442,Xu living Table 2 line 145 (snapshot 2025-12-25),"The soft-band luminosity, or the full-band luminosity where a soft-band value is unavailable, is assigned to uniform surface emission to obtain a conservative temperature ceiling. Polar-cap, shock, or magnetospheric emission may contribute to that luminosity."
38,J0024-7204ab,J00247204AB,rotation-powered MSP,269.905533063,4.52,upper_limit,flux_ceiling,426943.9741525126,,439462.0231191976,34659080.11032306,,34659080.11032306,L_X_fallback=2.000000e+30 erg s^-1 (value),Temperature ceiling derived from a luminosity budget; not a measured temperature interval,0.3--8.0 keV (Zhao--Heinke catalogue),,period coordinate in the dated Xu living-table snapshot,XuLive2025,ZhaoHeinke2022,https://xray-pulsar.github.io/counterparts/,https://doi.org/10.1093/mnras/stac442,Xu living Table 2 line 146 (snapshot 2025-12-25),"The soft-band luminosity, or the full-band luminosity where a soft-band value is unavailable, is assigned to uniform surface emission to obtain a conservative temperature ceiling. Polar-cap, shock, or magnetospheric emission may contribute to that luminosity."
